id	snimi	enimet	birth_place	birth_date	death_place	death_date					
:histo/p1884	Eucken	Rudolf		1846		1926					
:histo/p3001	Puhakka	Onni Olof		1870		1955					
:kb/p578	Aaku	Eero	Loimaa	1898	Helsinki	1959	
:kb/p5872	Aalberg	Ida	Janakkala, Janakkala	1857, 1857	Venäjä, Pietari	1915, 1915
:kb/p1744	Aalle-Teljo	Ida	Nurmijärvi	1875	Helsinki	1955
:histo/p4125	Aalle-Teljo	Ida		1875		1955					
:kb/p630	Aalto	Alvar	Kuortane	1898	Helsinki	1976
:histo/p3224	Aalto	Alvar		1898		1976					
:kb/p589	Aalto	Arvo	Rovaniemi	1932			
:kb/p5268	Aalto	Erkki	Jämsä	1904		1984
:kb/p5205	Aalto	Ilmari	Kuopio	1891	Helsinki	1934
:kb/p2697	Aalto	Juho Lauri	Artjärvi	1894	Helsinki	1965
:kb/p659	Aalto	Pentti	Pori	1917	Helsinki	1998
:kb/p956	Aaltoila	Heikki	Hausjärvi	1905	Helsinki	1992
:kb/p3095	Aaltonen	Aimo	Parainen	1906	Helsinki	1987
:histo/p3785	Aaltonen	Aimo		1906		1987					
:kb/p174	Aaltonen	Aleksi	Somero	1892	Helsinki	1956
:kb/p4070	Aaltonen	Arvo	Pori	1892	Pori	1949
:kb/p323	Aaltonen	Emil	Sääksmäki	1869	Tampere	1949
:kb/p4338	Aaltonen	Esko	Forssa	1893	Helsinki	1966
:kb/p3002	Tuovinen	Matti	Helsinki	1922			
:kb/p5767	Taipale	Armas	Helsinki	1890	Turku	1976
:histo/p4578	Sohlberg	Herman Fredrik		1813		1881					
:kb/p454	Sohlberg	Olavi	Helsinki	1908	Espoo	2001
